Funct-name,Funct-desc
mach.hist.purg,Purge Machine History
std.cost.roll,Standard Cost Rollup Simulation
std.cost.updat,Standard Cost Update
rollup.yield,Rollup Actual Yields to Standards
abc.cost.reset,Reset ABC Cumulative Costs
incr.mfg.prd,Increment Year/Period
cfm.transactio,Transaction Processing Menu
cfm.issue.bins,CFM/Issue Raw Materials to Bins
cfm.backflush,Single Stage Backflush
last.cfm.back,Edit Last Backflush
cfm.recv.proc,CFM/Receive Processed Inventory
cfm.cont.adjus,CFM/Container Inventory Adjustment
cfm.bin.adjust,CFM/Bin Inventory Adjustment
mach.hist.entr,Machine History Entry
bin.hist.list,Bin History List
cont.hist.list,Container History List
cfm.trans.jrnl,CFM/Inventory Transactions Journal
cs,Counter Sales
cs.overview,Overview Menu
cs.log,Log On/Off
cs.maintenance,File Maintenance Menu
cs.transaction,Transaction Processing Menu
cs.report,Management Reporting Menu
cs.inquiry,Inquiry Menu
cs.system,System Management Menu
cs.technical,Technical Documentation Menu
cs.exec,Executive Reporter Menu
cs.exec,Executive Reporter Menu
cs.inquiry,Inquiry Menu
sess.inq,Cash Drawer Sessions in Progress
hist.inq,Cash Drawer History Inquiry
cash.dwr.inq,Cash Drawer Inquiry
term.assgn.inq,Terminal Assignment Inquiry
cs.maintenance,File Maintenance Menu
csh.dwr.maint,Cash Drawer Maintenance
term.maint,Terminal Assignment Maintenance
cc.maint,Valid Credit Card Maintenance
cs.ctrl.maint,C/S Control-File Maintenance
csh.dwr.lst,Cash Drawer List
term.lst,Terminal Assignment List
term.aud,Terminal Assignment Audit Trail
cc.lst,Valid Credit Card List
cs.ctrl.audit,C/S Control-File Audit Trail
cs.audits,C/S Audit Trails (All Others)
cs.overview,Overview Menu
cs.features,System Features
cs.proced.flow,Procedural Flow
cs.balancing,Balancing Procedures
cs.conversion,Conversion Guide
cs.demo,Self-Paced CS Demo
cs.report,Management Reporting Menu
sess.report,Session History Report
invoice.report,Invoice Report
cpaymnt.report,Payments Report
cntrsal.detail,Detailed Transaction Report
cs.system,System Management Menu
cs.stack.log,C/S Stackable Log On/Off
drawer.edit,Edit Drawer Session History
cs.rev.invoice,Counter Sales Invoice Reversal
blank,:
incr.cs.prd,C/S Increment Year/Period
blank,:
sess.purge,Session History Report Purge
invoice.purge,Invoice Report Purge
paymnt.purge,Payments Report Purge
term.purge,Purge the Terminal Assignment File
cs.technical,Technical Documentation Menu
cs.transaction,Transaction Processing Menu
start.dwr,Start Cash Drawer Session
counter.sale,Counter Sale Transactions
end.dwr,End Cash Drawer Session
cntr.audit,Counter Sale Audit Trail
cntr.sale.jrnl,Counter Sale Journal
Form.Alignment,Form Alignment
e-log.inq,Electronic Log Query/Browse
loc.maint,Location Maintenance
shipment.maint,ASN Shipment Header Maintenance
blank3,:
blank3,:
blank3,:
blank3,:
edi.admin,EDI/BarCode Admin Menu
asn-cum-reset,ASN Cumulative Total Reset
lblprt,Bar Code Print Function
fixordlnref,Fix Order Line References from 862
ford.830,Ford 830 Excel All Items
conti-waterfal,Conti Waterfall CSV File
edi.admin,EDI/BarCode Admin Menu
bc_setup,Barcode Printer Setup
bc_lbl,Barcode Label Maintenance
custlbl.maint,Customer Barcode Label Maintenance
lbltype.maint,Label Type Maintenance
edimaint,EDI Control File Maintenance
crtrulerefer,Refer Ctrl For EDI Rules Maint.
genrlmnt,Generic EDI Rules Maintenance
blank4,:
blank4,:
blank4,:
blank4,:
blank4,:
blank4,:
spool.maint,Modem Spooler Maintenance
blank,:
edi-db-maint,Control-File Maintenance
